ts,"Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270","Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238","Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254","Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286","Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190"
"2023-06-07 03:00:00",249.57038879,0,0.99263573,1.14719796,284.2749939
"2023-06-07 04:00:00",261.76611328,0,0.98137498,1.08141387,285.72946167
"2023-06-07 05:00:00",259.26602173,0,0.90816236,1.28309679,288.49758911
"2023-06-07 06:00:00",245.10206604,0,0.68292683,1.43977392,290.74856567
"2023-06-07 07:00:00",247.82833862,0,0.56715822,1.59677005,292.17675781
"2023-06-07 08:00:00",241.03230286,0,0.49077201,1.59789228,293.34393311
"2023-06-07 09:00:00",238.09387207,0,0.47923595,1.86310327,294.1456604
"2023-06-07 10:00:00",232.39889526,0,0.47191149,2.41121578,294.80038452
"2023-06-07 11:00:00",223.03207397,0,0.44301111,2.45321417,295.11029053
"2023-06-07 12:00:00",234.05482483,0,0.45756787,3.04124999,294.76947021
"2023-06-07 13:00:00",247.99273682,0,0.47325385,2.7413187,294.55545044
"2023-06-07 14:00:00",260.88287354,0,0.42607361,2.26983118,294.48974609
"2023-06-07 15:00:00",261.40640259,0,0.3984248,2.00366426,294.35314941
"2023-06-07 16:00:00",264.25012207,0,0.39264154,1.71161425,294.03872681
"2023-06-07 17:00:00",265.25799561,0,0.40712208,0.98587239,293.33499146
"2023-06-07 18:00:00",353.18753052,0,0.49334988,0.30194139,291.94537354
"2023-06-07 19:00:00",133.18066406,0,0.72192746,0.54516751,289.74685669
"2023-06-07 20:00:00",46.43776321,0,0.84001589,0.4381775,287.39657593
"2023-06-07 21:00:00",58.62505722,0,0.8174327,0.62921464,286.21508789
"2023-06-07 22:00:00",80.88295746,0,0.75123996,0.61707711,285.54275513
"2023-06-07 23:00:00",192.54711914,0,0.75003493,0.40217429,284.78930664
"2023-06-08 00:00:00",287.65649414,0,0.77804959,0.56726664,283.07382202
"2023-06-08 01:00:00",290.00790405,0,0.85315394,1.06898451,282.703125
"2023-06-08 02:00:00",271.00057983,0,0.9310196,0.96379554,282.46884155
"2023-06-08 03:00:00",257.9067688,0,0.94312078,1.0422188,282.38049316
"2023-06-08 04:00:00",261.953125,0,0.95104039,1.00410378,284.11624146
"2023-06-08 05:00:00",268.07827759,0,0.88246679,0.67779279,287.23071289
"2023-06-08 06:00:00",259.74246216,0,0.68837458,1.26661396,290.38635254
"2023-06-08 07:00:00",247.78135681,0,0.5908094,1.28959548,292.07449341
"2023-06-08 08:00:00",240.75013733,0,0.52868998,1.62284064,293.3034668
"2023-06-08 09:00:00",240.75009155,0,0.50807512,1.66310072,294.20080566
"2023-06-08 10:00:00",247.4375,0,0.45318907,2.3009789,295.01513672
"2023-06-08 11:00:00",267.81259155,0,0.39430511,1.61173558,295.67453003
"2023-06-08 12:00:00",295.35955811,0,0.40405512,1.23215365,295.89450073
"2023-06-08 13:00:00",300.234375,0,0.40963972,1.13584948,295.78128052
"2023-06-08 14:00:00",275.57821655,0,0.41360688,1.82313371,295.61880493
"2023-06-08 15:00:00",265.47744751,0,0.4286367,1.95141625,295.10388184
"2023-06-08 16:00:00",254.97663879,0,0.42228913,1.69279242,294.65316772
"2023-06-08 17:00:00",253.75785828,0,0.46536505,1.51881862,293.74371338
"2023-06-08 18:00:00",262.73443604,0,0.55893242,1.15878689,292.14901733
"2023-06-08 19:00:00",239.14065552,0,0.69435436,0.63484812,289.68554688
"2023-06-08 20:00:00",268.57846069,0,0.83392692,0.48231855,286.92910767
"2023-06-08 21:00:00",298.04699707,0,0.86107254,0.51391113,285.44247437
"2023-06-08 22:00:00",300.5,0,0.81125283,0.50178593,284.75146484
"2023-06-08 23:00:00",180.38285828,0,0.83350015,0.44022754,284.04074097
"2023-06-09 00:00:00",167.19534302,0,0.99878412,0.20570377,284.28912354
"2023-06-09 01:00:00",55.50799561,0,0.99663299,0.84158075,284.20458984
"2023-06-09 02:00:00",41.83603287,0,0.99400842,0.71713358,283.83877563
"2023-06-09 03:00:00",61.06266403,0,0.99727428,1.79957449,284.29403687
"2023-06-09 04:00:00",56.60157394,0,0.94325829,2.76892328,286.13250732
"2023-06-09 05:00:00",59.05477905,0,0.8619284,3.80234981,287.98400879
"2023-06-09 06:00:00",68.3755188,0,0.8554889,4.21046734,289.05160522
"2023-06-09 07:00:00",63.85990143,0,0.80337918,4.45615625,289.63046265
"2023-06-09 08:00:00",56.92220306,0,0.75400126,5.1261816,289.96847534
"2023-06-09 09:00:00",58.8360672,0,0.72961754,5.55370998,290.14920044
"2023-06-09 10:00:00",58.88315964,0,0.71200836,5.74988699,290.24060059
"2023-06-09 11:00:00",58.39134598,0,0.69816858,6.01020145,290.20635986
"2023-06-09 12:00:00",56.1564064,0,0.6938501,6.27759552,290.1109314
"2023-06-09 13:00:00",55.37500763,0,0.68777704,6.39168453,290.0553894
"2023-06-09 14:00:00",56.07039642,0,0.67134327,6.75429964,289.64916992
"2023-06-09 15:00:00",56.84377289,0,0.69908386,6.94503689,289.03683472
"2023-06-09 16:00:00",56.69541168,0,0.70642358,6.9026494,288.51022339
"2023-06-09 17:00:00",59.78147888,0,0.70350945,6.65430069,288.08081055
"2023-06-09 18:00:00",57.26568985,0,0.73555315,6.55907154,287.48455811
"2023-06-09 19:00:00",54.41419601,0,0.75485599,6.53328466,286.93237305
"2023-06-09 20:00:00",53.41423416,0,0.770298,6.64754486,286.6100769
"2023-06-09 21:00:00",56.09423447,0,0.7435497,6.52244949,286.66641235
"2023-06-09 22:00:00",57.03921509,0,0.74789858,6.48709154,286.73657227
"2023-06-09 23:00:00",59.28141403,0,0.75760335,6.43439722,286.74185181
"2023-06-10 00:00:00",54.10182571,0,0.88510621,5.93110561,284.51119995
"2023-06-10 01:00:00",52.98498154,0,0.88055891,5.63361645,284.60586548
"2023-06-10 02:00:00",53.53133011,0,0.87943053,5.48516321,284.64056396
"2023-06-10 03:00:00",57.10161972,0,0.87054998,5.09379578,284.79516602
"2023-06-10 04:00:00",58.67208099,0,0.82234752,5.52914238,285.52581787
"2023-06-10 05:00:00",58.6484642,0,0.75429285,5.6447649,286.32318115
"2023-06-10 06:00:00",60.50831985,0,0.73256373,5.59783649,286.97543335
"2023-06-10 07:00:00",61.44595337,0,0.71417642,5.4681673,287.63754272
"2023-06-10 08:00:00",59.82823181,0,0.68887675,5.43411684,288.47390747
"2023-06-10 09:00:00",65.00850677,0,0.66253978,5.64824629,289.07751465
"2023-06-10 10:00:00",69.02448273,0,0.63565361,5.65939665,289.4703064
"2023-06-10 11:00:00",69.99230194,0,0.60472363,5.62924957,289.83325195
"2023-06-10 12:00:00",73.31254578,0,0.57202375,5.92080021,290.03909302
"2023-06-10 13:00:00",72.734375,0,0.55565083,6.10972977,289.86587524
"2023-06-10 14:00:00",67.94565582,0,0.54597682,6.40807009,289.24084473
"2023-06-10 15:00:00",61.81287003,0,0.57977509,6.71225548,288.25961304
"2023-06-10 16:00:00",58.70357132,0,0.60473853,6.44875383,287.38809204
"2023-06-10 17:00:00",59.65631104,0,0.68576282,6.03001308,286.66296387
"2023-06-10 18:00:00",58.27393341,0,0.7608059,5.50228691,285.91690063
"2023-06-10 19:00:00",54.73570633,0,0.82658654,4.75698566,285.13571167
"2023-06-10 20:00:00",54.98608017,0,0.8710053,4.20366764,284.50524902
"2023-06-10 21:00:00",53.60961533,0,0.8893621,3.78197646,284.31298828
"2023-06-10 22:00:00",50.68137741,0,0.8890875,3.58459163,284.31091309
"2023-06-10 23:00:00",52.08601379,0,0.88212949,3.47870445,284.36325073
"2023-06-11 00:00:00",64.29721069,0,0.90729177,3.33387589,283.85140991
"2023-06-11 01:00:00",64.09572601,0,0.91345668,2.90326858,283.91650391
"2023-06-11 02:00:00",65.21125793,0,0.93340003,2.53161764,283.69589233
"2023-06-11 03:00:00",71.42975616,0,0.93779457,2.33115983,283.6555481
"2023-06-11 04:00:00",81.57850647,0,0.86600208,2.43602967,285.009552
